27	1985	4430	37
22	1978	4422	40
26	1976	4422	38
32	1974	4413	41
28	1979	4413	41
29	1973	4404	39
24	1970	4409	41
27	1964	4395	41
29	1961	4398	38
29	1956	4392	40
30	1959	4388	38
31	1949	4381	38
30	1952	4374	38
30	1947	4377	43
27	1949	4374	44
27	1946	4362	42
25	1953	4366	39
29	1945	4362	37
26	1942	4368	37
24	1933	4353	46
31	1933	4358	44
26	1931	4344	39
27	1930	4347	37
27	1926	4343	38
28	1929	4345	40
26	1917	4335	40
29	1925	4336	41
30	1912	4330	47
31	1919	4329	35
27	1908	4319	39
22	1916	4323	41
30	1911	4313	40
27	1909	4315	37
28	1905	4313	39
27	1905	4306	37
23	1899	4302	42
30	1903	4300	35
27	1894	4295	40
27	1898	4299	39
26	1893	4291	42
29	1892	4288	40
31	1882	4278	40
25	1886	4282	40
28	1878	4278	42
24	1878	4279	41
26	1874	4267	43
23	1874	4276	39
27	1871	4268	41
29	1876	4272	39
27	1868	4262	38
